Business_ID,Business_Name,Business_Ratings,Category,City,Company_Address,Review_Counts,State,Zip,latitude,longitude,First_Review,Second_Review,Third_Review
summer-rydel-dds-a-summer-smile-austin,"Summer Rydel, DDS - A Summer Smile",5.0,cosmeticdentists,Austin,8656 Hwy 71 W,30,TX,78735,30.2498413,-97.8938858,Dr. Rydel and her staff at A Summer Smile are all truly wonderful. They're friendly and caring and gentle. I had a really rough experience at another office...,"Love, love, love, love this dentist!  I never have to wait longer than a couple of minutes, even when I'm early. The staff is friendly and professional -...","9/27/2017 every visit is better than the last!!!   5 plus stars
Do yourself a favor and read my previous review. It's 5 stars for good reason!!
8-30-16 I..."
addis-carpet-cleaning-austin-2,Addis Carpet Cleaning,5.0,homecleaning,Austin,6105 Turtle Point Dr,37,TX,78746,30.274984999999997,-97.8413489,I am giving 5 stars for the great customer service I received. From the phone call to describe the issue I had which was a slight emergency to him showing...,"Ken, owner of Addis steam cleaned our carpet on 11/15/2017.  The initial conversation to make the appointment was friendly. Ken and his helper were prompt...","Got senior dogs and you know what that means...puke stains, pee stains you name it. Called Ken and he came over and did his magic and my carpet looks like..."
third-coast-home-inspection-austin,Third Coast Home Inspection,5.0,home_inspectors,Austin,"Austin, TX 78749",43,TX,78749,30.217545299999998,-97.85583570000001,"Craig came highly recommended by our realtor and I am so glad I called him for our home inspection. Craig is personable, thorough, efficient and very...","Craig was a recommendation from my realtor and she couldn't be more right about him. Craig is super personable and knowledgeable. He patiently explained, in...",My family and I moved from out of state to Texas. We could not attend the home inspection. Craig is as thorough and detail oriented as they come. He called...
spacecraft-entertainment-austin,Spacecraft Entertainment,5.0,djs,Austin,"Austin, TX 78703",41,TX,78703,30.217545299999998,-97.85583570000001,"We hired Jeff for our corporate company event in which our CEO was speaking, and he did an excellent job! He was completely professional, and even dressed...","Jeff was professional, organized and reliable. Our party, a dance for a group of middle schoolers, was a huge success in large part to him!",Jeff was an AWESOME DJ for our wedding. I picked him because he was the DJ for my sisters wedding and he has this amazing ability to read the crowd really...
creative-images-by-keri-austin,Creative Images By Keri,5.0,hair_extensions,Austin,5700 South Mopac Expy,37,TX,78749,30.227338412533,-97.832519773806,"Keri Moss. What more can I say? I was super nervous about getting extensions - making sure the color matched (a blonde with naturally dark hair), wanting it...","My best friends recommended I head over to Keri and give her a try.  I am very picky, super high maintenance and love to give zero input/advice on what I...","I was very nervous about getting and maintaining hair extensions, but I put my trust in Keri and my hair has never been this healthy or looked this great...."
texas-honey-ham-company-west-lake-hills,Texas Honey Ham Company,4.5,sandwiches,West Lake Hills,3736 Bee Cave Rd,195,TX,78746,30.280860999999998,-97.807227,"Really delicious food, ample servings and friendly service in a welcoming, casual neighborhood atmosphere.  We were here for lunch and had the Choice Slice...",I like this place.  It's very Austin with a hip young staff of Westlake students that do a pretty darn good job running the place.  I typically stop in here...,"I found this spot on yelp. Thanks
As I walked in the first register a came too was for straight meat orders. I was directed, kindly, to go around to the far..."
dash-service-company-austin-5,Dash Service Company,5.0,hvac,Austin,"Austin, TX 78749",69,TX,78749,30.20635,-97.86486,10 years ago after having the coolant in my AC replaced several times by another company l called Dash. After promptly arriving they repaired the damaged...,"I understand that calling for AC repair on a Sunday morning, in July, the on-call tech is going to be swamped. But, still, waiting nearly 4 hours for a...","You know that feeling you get when you meet a service provider you can trust? Someone that won't be upselling you, or sneaking in some unnecessary repairs?..."
josh-brown-team-legacy-mutual-mortgage-austin,Josh Brown Team - Legacy Mutual Mortgage,5.0,mortgagebrokers,Austin,5707 Southwest Pkwy,26,TX,78735,30.244004999999998,-97.845965,"I can't say enough great things about the Josh Brown Team.  When it comes to mortgage lenders in Austin,  if you'd like to have a seamless process, Josh's...",Another great closing with Josh and his team. Great communication throughout the transaction and they were able to close an FHA loan in 26 days!!!! That's...,I have worked with Josh Brown and his team at Legacy Mutual Mortgage for my last three home loans. They are hands down the BEST mortgage lenders in the...
jack-allens-kitchen-oak-hill-austin-2,Jack Allen's Kitchen Oak Hill,4.5,tradamerican,Austin,7720 Hwy 71 W,1299,TX,78735,30.243515000000002,-97.882696,"Can't get much better farm to table bang for the buck than JAK.  Always awesome ambience, great food, and exceptional service.

Highly recommend the burgers...",I can't say enough good things about Jack Allen's. This is the only restaurant I've been too where after eating my meal I said they should have charged  me...,"I came here after hearing about this place various times from friends.

I ordered the 13 spice chicken pasta which was delicious! It was spicy, which I..."
rudys-country-store-and-bar-b-q-austin-6,"Rudy's ""Country Store"" & Bar-B-Q",4.5,bbq,Austin,2451 S Capital Of Texas Hwy,897,TX,78746,30.26381,-97.81522,By far the best brisket I had besides my dad & to compete with I'm wowzers everything was on point. The briskets is so tender it's ridiculous & the BBQ...,"This was really the only stop we needed in and around Austin for a good barbecue fix.

We strolled in as a bit of an afterthought after a weekend stuffing...",This place rocks!  Always stppinn for gas and smelt so so good!  Had an event catered from this location... most professional catering I can remember. If...
pure-skin-spa-austin,Pure Skin Spa,5.0,skincare,Austin,5700 S Mopac Expy,26,TX,78749,30.2279762664597,-97.8312610746986,I come here to get the lash lift/tint and I would 12/10 recommend!! It's so nice to wake up and not have to worry about putting mascara on bc you're still...,"If i could give Heather a thousand stars I would! First off, let me say I'm from San Antonio, so I'm not super familiar with Austin. I ended up going to...",I just moved to Austin but have been coming here for the past 6 months or so have Heather give me amazing an Brazilian wax. She has an online booking system...
caden-roofing-austin-2,Caden Roofing,5.0,roofing,Austin,"Austin, TX 78735",44,TX,78735,30.254790000000003,-97.88913000000001,"We just moved out to the Austin area at the end of May, after a fairly significant hail storm hit the area, which of course resulted in damaging the roof on...",Caden Roofing and Fareed were great to work with!  Came to inspect my roof within hours of the initial phone call.  His crew was so nice and did a great job...,"Mr. Fareed Tulbah, the owner, was professional, timely, skilled, and extremely honest.  He is the best of the best, and we highly recommend his roofing..."
d-lites-austin,D'Lites,4.5,icecream,Austin,4404 W William Cannon Dr,119,TX,78749,30.223734999999998,-97.839451,What an awesome place.   The owner was super helpful in explaining how it is all made.   There are tons of flavors and he will give you some ice packs if...,"Chocolate/Vanilla swirl with chocolate sprinkles. I decided to keep it pretty tame (not that you can get too crazy here anyway). 

I didn't love the texture...","I am incredibly thankful to have found a low carb, very low sugar with no artifical sweeteners ice cream. I've only been her twice but for someone that has..."
via-313-pizza-austin-5,Via 313 Pizza,4.5,italian,Austin,6705 US 290 W,486,TX,78735,30.2329224392754,-97.8656552264587,Fantastic service!  Courtney was very friendly and helpful. We have never been here before so she explained how their pizza was different than other places...,"After sampling their Detroit style pizza from a humble food truck, FINALLY made it out to Via 313's first B&M (they now have two and two food trucks as...","I have been eating 313 Pizza on a weekly basis for the last 6 years straight...

I have been coming to this location since it opened. 

Love the friendly..."
buddhas-brew-kombucha-austin,Buddha's Brew Kombucha,5.0,kombucha,Austin,"Austin, TX 78735",38,TX,78735,30.2661056518555,-97.86754608154301,"Buddha's Brew makes my favorite kombucha EVER. I love the taste, the variety of flavors, and the little bottles with the peace sign on the bottom. My only...",THIS KOMBUCHA IS THE BEST and by far my absolute favorite (and I've had a lot)!! All of their flavors never disappoint. Great customer service. The quality...,I've always bought Buddha's Brew at Whole Foods. Because of them my love of Kombucha grew! I love how they have lots of different flavors. I first had the...
pure-smiles-orthodontics-austin-2,Pure Smiles Orthodontics,5.0,orthodontists,Austin,4301 W William Cannon Dr,26,TX,78749,30.2203294726865,-97.83920654078251,LOVE this place! From the first time we did the consultation to the putting on of braces (which was yesterday) they were amazing. They just redid their...,"I had a great experience at pure smiles orthodontics, I had my consultation this week and I am going to start treatment next week I was given a tour of the...","I had a ""permanent"" retainer come loose from behind my front teeth and called multiple orthodontists in the area. It was difficult to find someone that..."
travis-country-veterinary-hospital-austin,Travis Country Veterinary Hospital,4.5,vet,Austin,5318 W Hwy 290,63,TX,78735,30.2372981924296,-97.8357980739136,"Very caring, friendly and affordable practice. I have been taking all my pets here for about a year and highly recommend them.","First, I would like to say that I have already contacted Travis Country, so this review will not be a shock to them. I visited Dr. Parsons last week with my...",I love this veterinary practice! They have taken good care of all our animals and were very compassionate when our older cat was in her final days. I love...
posh-salon-austin-2,Posh Salon,5.0,hair,Austin,5700 S Mopac Expy,33,TX,78749,30.229324600000005,-97.83085940000001,I've been going to Jeanie for nine years. That's how good she is - Nine years! She's a phenomenal colorist and a good person to boot. I also like the fact...,"Bad experience for the $200 i paid. This is way overpriced. The customer service is really bad, they are constantly on the phone while you are sitting...","I'm downgrading this review after an unpleasant experience coupled with frustration over my recent haircut.

So, I went on a Friday afternoon, after a..."
ryan-carrel-studio-austin,Ryan Carrel Studio,5.0,menshair,Austin,5700 S Mopac Expy,25,TX,78749,30.229324600000005,-97.83085940000001,"Ryan is a wonderful stylist: attentive, highly experienced, personable, kind and a great listener.

The entire experience was a joy from the moment I walked...",Ryan does blonde like no other! He works his magic and my bright blonde hair looks natural and grows out well! He talked me into growing out my bangs and I...,"Ryan has been my stylist for almost 6 years now, and I can't let anyone else touch my hair. He's an expert stylist and colorist but the thing he did for me..."
professional-tv-mounting-austin,Professional TV Mounting,5.0,tvmounting,Austin,5001 Convict Hill Rd,71,TX,78749,30.2168483734131,-97.85340118408199,Billy is the best. I've used geek squad in the past but they take a while to schedule. I booked Billy and he mounted the tv's in a total time of less than...,"Billy was amazing! He hung a 70"" TV and 60"" TV for us in our new home. He made sure to handle our equipment with care and hid the wires in our walls in the...","Billy did a great job installing my 55"" TV. He was super quick and tidy. Best price around - trust me, I did my research. Thanks Billy."
wholy-bagel-austin,Wholy Bagel,4.5,bagels,Austin,4404 W William Cannon Dr,507,TX,78749,30.2236706391258,-97.83878652388029,"I really wish I could give this place more stars!!

My boyfriend and I cant get enough of this place. We live downtown but gladly make the trip! If you want...","I really really wanted to like Wholy Bagel and tried two different bagels and sandwiches, and they were flavorless and way overpriced!!  I can see why they...","Awful service! Cold bagels - even when you ask them for toasted! 

I am not sure why the servers looked so annoyed at how busy the bagel shop was ?! Isn't..."
happy-larrys-motorcycle-towing-austin,Happy Larry's Motorcycle Towing,5.0,towing,Austin,4701 Staggerbrush Rd,22,TX,78749,30.23387,-97.83645,"I called. He showed up. Motorcycle got to it's destination.
No fuss, no muss, no issues.
Would use him again in a heartbeat.
(Incidentally, the rig on his...","This guy is amazing.  The service was incredible, fast and yes with a BIG SMILE.  Happy Larry delivered.","Easy!  I could stop there, Larry made this so easy it was ridiculous!  Called, made an appointment for 2 days later...Larry showed up as scheduled, rolled..."
nicole-mlakar-photography-austin,Nicole Mlakar Photography,5.0,photographers,Austin,"Austin, TX 78749",21,TX,78749,30.213333129882802,-97.8588027954102,"I know I'm just adding to the pile of positive remarks about Nicole's work & manner, but it's worth noting. It's the least I could do for what she has given...","Nicole was such a joy to work with. Photoshoots can be stressful to say the least, and Nicole made the entire process so relaxing and fun. In addition, she...","Nicole photographed my cats last December, and I'm completely in love with the photos! She did a great job capturing their personalities, and the photos are..."
meche-organic-salon-austin-2,Meche Organic Salon,5.0,hair,Austin,5700 S Mopac Expy,41,TX,78749,30.229324600000005,-97.83085940000001,Kim is very knowledgeable and thorough in explaining everything. She's so caring and takes her time with you to get the results you're looking for. I love...,Kim transformed my long tangly locks into soft silky layers with a chic side bang. I'm very low maintenance and she always gives me practical options that...,"Kim is amazing and ever the perfectionist.  Thank you for my new blonde highlights.  Kim was not as happy with the initial results as she had hoped, so she..."
dan-whites-screens-and-things-austin,Dan White's Screens & Things,5.0,blinds,Austin,5210 W Hwy 290,43,TX,78735,30.2370767,-97.83214009999999,We're very pleased with our new screen porch. Doug White and his team did an outstanding job and we can now enjoy our patio without the bother of pesky...,"Replaced my old, troublesome sliding patio screen door with a new, stronger, one, that slides oh so nicely, for an attractive price ($189, including...",This is our go-to place for screen window repair or replacement. I don't even consider others anymore. The location is off the access road and comes up...
oak-hill-eye-care-austin-2,Oak Hill Eye Care,4.5,optometrists,Austin,6000 W William Cannon Dr,71,TX,78749,30.2294497404908,-97.86221712827681,"Have been a satisfied patientcustomer for 5 years.  Though their computers were down and Dr. Thames had left to start her own practice, seeing Dr. Christi...",This was my first time to meet with Dr. L and I was so happy that we had the chance. She explained my eye care to me thoroughly and told me of how she would...,The BEST experience I've ever had at the optometrist. It would have given 5 stars except when I called in to make an initial appointment I was placed on...
slab-bbq-and-beer-austin-3,SLAB BBQ & Beer,4.5,bbq,Austin,7101 W Hwy 71,110,TX,78735,30.235284882948104,-97.8784289443191,Came here for lunch had the rib sandwich and it was delicious. If your in the market for BBQ hands down this place has some awesome meat options you can't...,"TL;DR synopsis of this Slab BBQ & Beer location:
- City slicker limited-menu BBQ--as in ""Sammys""
- Half-off ribs on Tuesday nights are half-gristle
- Sides...",I have eaten from their food trailer so kind of knew what to expect. This was my first visit here and first noticed they are expanding the place.  Surprised...
realty-austin-southwest-austin-2,Realty Austin - Southwest,5.0,realestatesvcs,Austin,4301 W William Cannon Dr,166,TX,78749,30.2196446,-97.8416454,Sue Lindell was FANTASTIC!  She knows the entire Austin (and surrounding) area(s) extremely well. She worked tirelessly to help us find the perfect home....,Our time working with Art Fonseca was nothing short of amazing. We ran into several roadblocks due to unavoidable circumstances during our home buying...,Amy Mills is the very best real estate agent we have ever had the luck to work with! We've worked with a lot of real estate professionals over the years and...
beirut-austin,Beirut,4.5,lebanese,Austin,1905 S Capitol Of Tx Hwy,77,TX,78746,30.269406524927696,-97.8161840400691,"Great place at the Midway Food Park. 
Thanks Salah, he prepared his Mixed Grill for us.  At the time of this review it was $17. It is a generous plate of...","If you want delicious, authentic, freshly prepared Lebanese cuisine w/generous  portions.....this is the place!  I've been to Lebanon, & this rivals...","Probably the best Lebonese food I have ever had! The wraps are homemade, and the tahini sauce is amazing! Definitely worth stopping into the food truck park."
maryes-gourmet-pizza-austin-2,Marye's Gourmet Pizza,4.5,pizza,Austin,3663 Bee Cave Rd,140,TX,78746,30.2788789699226,-97.807303494104,"Everytime we go it gets better! They have the best salads, fantastic pizza, beer and wine and they're so nice!!",Dined here the other day (Friday lunch) for my sister's birthday and it was my first time. Thoroughly enjoyed the vibe & atmosphere. Rose was lovely. Greek...,Pretty legit place for family to get decent gourmet pizza in Westlake. The style definitely isn't New York nor Italian. The toppings seem fresh and were...
vintage-and-lace-weddings-austin,Vintage & Lace Weddings,5.0,wedding_planning,Austin,"Austin, TX 78749",24,TX,78749,30.206609725952102,-97.8608627319336,"If you're looking for a true professional, someone who will feel like your friend by the time your big day comes - hire Heather. She's not only...","Heather's a professional. That's the best way I can describe her with her work.
 
Shes lighthearted, approachable and friendly, but most importantly - shes...","Do not try to plan your wedding without Heather! We had a pretty complex wedding - multiple vendors, out of town guests, transportation etc., and Heather..."
cleantech-carpet-cleaning-austin,Cleantech Carpet Cleaning,5.0,carpet_cleaning,Austin,6315 Oleander Trl,23,TX,78735,30.250307,-97.883521,Oh just WOW!!!  Ralph and his two helpers left a few minutes ago.  Our puppy we got a year ago had very bad problems from the get go with diarrhea and that...,I am moving into a rental and felt the carpet needed help.  Ralph and his assistant did an amazing job.  I would never have believed the carpet could look...,Ralph & his team were exceptional. I had a dog have multiple explosive potty issues on my 3 month old carpet. My apt maintenance had someone come out to...
i-renovate-austin-austin-2,I Renovate Austin,5.0,contractors,Austin,8811 Ampezo Tr,23,TX,78749,30.217545299999998,-97.85583570000001,Isaac and his team did a great job remodeling our master bathroom shower. We chose them over other contractors because (besides a competitive quote) Isaac...,We reached out to Isaac initially when we were preparing to put our home on the market. We were looking for a full service company to help us with a variety...,"Isaac and his team were great! On time every day, professional and the work was immaculate. They painted the entire interior of our home and did a few small..."
juiceland-austin-22,JuiceLand,4.5,juicebars,Austin,6705 Hwy 290,63,TX,78735,30.233539680453703,-97.8660480790863,Love all the vegan smoothies and juices here. Friendly service as well. I highly recommend the originator!,"Every single time I come here I think, ""I could drive home, make a smoothie and drink it in the time it takes them to get my order to me.""

Edited to add:...","I've been a fan of Juiceland for awhile and have had many positive experiences. However, today is likely one of the worst drive thru experiences at any..."
eurasia-sushi-bar-and-seafood-austin-2,Eurasia Sushi Bar & Seafood,4.5,sushi,Austin,7101 W Hwy 71,115,TX,78735,30.23473,-97.87769,"I'm ecstatic that I found this place. I love sushi with all my heart and my boyfriend, well not so much. So finding a place for date night that we can both...","Okay, this is a plea to this restaurant to fix something, figure something out, about your ventilation/exhaust system! I am a huge fan of the food and...","The worst overall sushi place I have dined at.

I've tried all Kome, Haiku, Uchiko, Lucky Robot, and others."
sweet-treets-bakery-austin,Sweet Treets Bakery,4.5,bakeries,Austin,6705 W Hwy 290,166,TX,78735,30.2334526,-97.8659842,"I'd give ten stars if I could.

Sean and Lisa were amazing and provided EXACTLY what we were looking for on our wedding day. 

I have a gluten allergy, so...","These fabulous people made our wedding cake, and it was AMAZING! They also came and set it up on the big day and did an amazing job!! 

The taste was also...",Our wedding cakes were perfect! As were the various cupcake flavors! Support your local Austin businesses! These guys have got it going on!
tacodeli-west-lake-hills,Tacodeli,4.5,mexican,West Lake Hills,701 S Capital Of Texas Hwy,130,TX,78746,30.290352211501602,-97.82625352137958,"tl;dr - This is how you do customer service.

I have been a fan of Tacodeli since being introduced to them shortly after moving to this great city. In my...","Pretty darn good.

Having experienced Tacodeli's catering before, I just had to bring my family to this place and they loved it!

They give the most...","From Houston, I have heard of Tacodeli before, I just hadn't been yet. I just happened to be in Austin when I got around to trying it. We ordered some to-go..."
designer-nails-austin,Designer Nails,4.5,othersalons,Austin,5716 W Hwy 290 W,49,TX,78735,30.2367304,-97.8468253,"Love, love, love this place!! Beautiful space, relaxing and clean. Wonderful customer attention, and the best pedicure I've ever had, hands down.

My new...","Pretty beyond blue SNS nails by Suu @ Designer Nails. She is a perfectionist.  Rebekah her daughter, added some creative touches to the salon making it a...","Atmosphere: 
8/10 Clean, Quiet, Relaxing 

Customer Service: 
10/10 Attentive, Polite, Tactful

Quality: 
10/10 Detail oriented, Patient

Price: 
9/10..."
brad-b-plumbing-services-austin,Brad B Plumbing Services,4.5,plumbing,Austin,4301 W William Cannon Dr,76,TX,78749,30.220909180729198,-97.84071600051479,He's pretty available so Brad has become my go-to plumber in a pinch. Kitchen sink has a leak on a Wednesday and guests are arriving for the weekend?! Brad...,"Brad is responsive, courteous, and professional. He showed up on time and contacted us to let us know that he's on his way.

We had a problem with our...",Had the opportunity to engage the services of Brad following a very bad installation experience of three bathroom faucets just a few short months ago....
boteco-austin-3,Boteco,5.0,foodtrucks,Austin,1403 E 7th St,299,TX,78702,30.26431,-97.72789,Brazilian street food? Yes. Absolutely yes. We stumbled upon Boteco when we realized the restaurant on the other side of the street had shutdown (welcome to...,"My god, this place is absolutely phenomenal. Just a few menu items, but they do all of them very well.The simpler the menu, the usually better focus and...","We came here for dinner yesterday, after having been here once when we first moved here, and instantly remembered why this place is super worth coming..."
savor-de-moi-austin-3,Savor De Moi,5.0,foodtrucks,Austin,517 N Ih 35,80,TX,78702,30.2654512065471,-97.7341059731606,This place is amazing and I'm thrilled the rest of East Austin thinks so too! Being from south Tx I have pretty high standards when it comes to Mexican food...,My friend and I were visiting Texas for the first time and upon landing we immediately decided we needed tacos. We were staying at the Hilton downtown and...,"I ordered the #1 (beef fajita and smoked sausage) and it was absolutely delicious. I was skeptical of the mix of fajita and sausage AND barbeque sauce, but..."
town-lake-metropolitan-parks-austin,Town Lake Metropolitan Parks,5.0,parks,Austin,"Austin, TX 78701",175,TX,78701,30.270894725696696,-97.7648599185516,when you need to get away from it all and jave to get a run/jog/walk this is the best get away spot in The ATX *Austin Texas *..,"Beautiful place to spend couple of hours! 
Watch out! Lots of tortoises and squirrels are just around you! This is what i adore about the place!
There is...","The name of this page kinda bugs me, as it doesn't *really* help you know what this listing is about... but I'll get over it. You came here to find out..."
dee-dee-austin-2,DEE DEE,5.0,thai,Austin,1906 E Cesar Chavez St,232,TX,78702,30.257146835327102,-97.7239227294922,This awesome trailer puts out some of the best Thai cuisine I've ever had the pleasure of experiencing.  When it comes to Thai food I'm usually familiar...,"Dee Dee is an awesome food truck, and I'll definitely be back when I'm craving good Thai food! I came here with friends on a Friday night. Parking is just...",I have been stalking dee dee's mango sticky rice on Instagram for too long! Boy was it worth the wait! The mango was perfectly sweet and the sticky rice was...
ceviche7-austin,Ceviche7,5.0,peruvian,Austin,502 W 30th St,175,TX,78705,30.29634,-97.74139,"You know what's better than the food? The owner, David. Most people come during the late night hours when there's obviously a wait (only David working...","1 star: Be prepared - this place is a WAIT. With two people ahead of me, maybe a 30 minute wait for one order of ceviche. Maybe you can order, and head over...","This place is the BOMB! The ceviche is AMAZING! Honestly, truly! 
Every time I visit austin I will make sure to stop here! The ceviche isn't really spicy..."
halal-time-austin,Halal Time,5.0,foodtrucks,Austin,1501 E 6th St,62,TX,78702,30.2631107184963,-97.7272480692696,"Since we discovered Halal time we can't get enough off it! 

The flavor of the food it just incomparable with any other place in town, the portions are very...","Got the combo over rice. They are open pretty late and they score an extra star for that. 

Biggest drawback is they use chili paste for red sauce. Other...","Omg, this is delicious! Got a drink from across the street and I needed to eat. Took a chance on a new place for me and wow, so glad. I ordered the falafel..."
franklin-barbecue-austin,Franklin Barbecue,4.5,bbq,Austin,900 E 11th St,3522,TX,78702,30.270090000000003,-97.73125999999999,"For a memorable experience, Franklin's will have you in the know. 

I thought to myself when I reached the brisket cutting line, is this happening, I get to...","Ugh. Melt in your mouth, like-butter, brisket. 

For 7 years I have lived in Austin and have always wanted to try to Franklin's. I'd drive by the line and...","I heard very good things about this place, but I must say I was disappointed. I was looking for some BBQ at lunch and this spot was on the same block as my..."
the-roosevelt-room-austin,The Roosevelt Room,4.5,cocktailbars,Austin,307 W 5th St,201,TX,78701,30.2677,-97.74627,"Decadent style, lush in high class, but yet subtle and elegant! I loved the layout, the design, and the vibe... I felt like I was in a rich dim lit...","Who knew something so swanky existed in Austin? With a dark but lit layout, extravagance pouring from drinks made by likable bartenders and classiness...",Entered this dark and beautiful space and sat at the bar. Definitely something you want to do if it's your first time here as part of the attraction is...
abo-youssef-austin,Abo Youssef,4.5,mediterranean,Austin,2101 Manor Rd,283,TX,78722,30.28398,-97.71984,"I was excited to come here and it really lived up to expectations!

I had the falafel and gardenia plate, which had zucchini, cauliflower, and eggplant...","This place is the real deal. Was eyeing this place for months after my roommate told me it was legit, finally decided to stop by on a Friday evening and I'm...","New favorite food truck. I am so full but I can't stop eating this deliciousness! I got the Chicken Schwarma and it is bomb!! 

My meal was to go and I..."
dolce-neve-austin,Dolce Neve,4.5,gelato,Austin,1713 S 1st St,492,TX,78704,30.247625,-97.755404,"Stopped by on a whim after checking out the welcome to Austin mural across the street. Excellent service, considering there was only 1 person working behind...","Solid gelato place. Lots of unique flavors and generous with the samples. My girlfriend and I ordered a medium with 3 flavors. 

Chocolate with Candied...","This is my favorite gelato place in Austin.

I just love everything about this place even parking. It may get difficult to park since it's not too spacious;..."
