VENDOR_CODE,LEGAL_NAME,ALIAS,PRINCIPLE_CONTACT,EMAIL,PHONE,PHONE_EXT,FAX,FAX_EXT,STREET_1,STREET_2,CITY,STATE,ZIP
PAT7048530,KNUDSON LP,,Debbie Dooley,ddooley@knudsonservices.com,7134638200,,7134638011,,6705 HWY 290 W STE 502 #222,,AUSTIN,TX,78735
MCC8310773,MCCURLEY ENTERPRISES INC,,FRED W MCCURLEY,FRED@MEI1.ORG,9727723259,,9727723237,,1941 FM 550,,ROCKWALL,TX,75032-6992
MBA8306200,M B A MAINTENANCE INC,,MARY BETH ASH,mbamaintenance@sbcglobal.net,5128445837,,5123693100,,201 Hyview Lane,,Hutto,TX,78634
POW8300999,POWER QUALITY ENGINEERING INC,POWER QUALITY ENGINEERING,Vanessa Bloom,vbloom@pqeinc.com,5122676656,,5122670989,,3061 WOODALL DR BLDG A,,CEDAR PARK,TX,78613-7225
PIA8322157,PIATRA INC,,MIRELA GLASS,INFO@PIATRAINC.COM,5122990404,,,,PO BOX 9593,,AUSTIN,TX,78766-9593
VC0000103077,BRIONES CONSULTING & ENGINEERING LTD,,ROLANDO H. BRIONES JR.,RBRIONES@BRIONESENGINEERING.COM,2108281431,,2108281432,,8118 BROADWAY,,SAN ANTONIO,TX,78209
VS0000035423,"W&D Enterprises, L.L.C.","MAVA Engineering, LLC",Victor Winston,vwinston@mavaengineering.com,5125631720,,,,1747 Fort Grant Dr.,,Round Rock,TX,78665
TRI8321538,TRITON  INDUSTRIES INC,MILLWORK SERVICES,Crystal Griffin,estimating@millwork-services.com,5128050665,,5128050660,,PO BOX 1611,,SAN MARCOS,TX,78667-1611
VS0000008581,GLOBAL ENGINEERS INC,GLOBAL ENGINEERS & CONTRACTORS,Munir Khan,munirmkhan@gmail.com,5124173172,,5122462212,,4219 Pebblestone Trl,,Round Rock,TX,78665-5027
VC0000101859,JB ASPHALT PAVING & GRADING LLC,,NORMA BRITO,NORMA@JBASPHALTANDGRADING.COM,5128517202,,5122881560,,PO BOX 92856,,AUSTIN,TX,78709
VS0000017696,AUSTIN CONSTRUCTORS LLC,,Mark Medrano,marcos@austinconstructors.com,5123868690,,5123868695,,7907 S FM 973,,AUSTIN,TX,78719
VS0000019303,SIMPLY KLEAN LLC,,Mario Bennett,mario@simplyklean.us,8009910971,,8009910971,,PO BOX 200522,,AUSTIN,TX,78727
VS0000018045,B.I.T CONSTRUCTION SERVICES INC,B.I.T CONSTRUCTION,Britanie Olvera,britanie@bitservicesinc.com,5122585336,,5122585072,,7103 E Riverside Dr,,AUSTIN,TX,78741
VC0000102282,CMS 2 TRUCKING INC,,SQUIRE ELLIOTT,LHAULER@YAHOO.COM,5124311351,,,,PO BOX 141423,,AUSTIN,TX,78714-1423
VS0000022301,"CX2 Construction, Inc.",,Stephanie Conner,stephaniecx2@gmail.com,5128589203,,5128585608,,19507 FM 150 W,,Driftwood,TX,78619
LAN7050345,LANDMARK SURVEYING L P,,DANA MARKUS-WOLF,dana@landmarksurveying.com,5123287411,104,5123287413,,2205 E. 5th Street,,AUSTIN,TX,78702
MUR8319181,HOGAN MURRAY INC,MURRAY CONSTRUCTION,KAREN HOGAN,KHOGAN2@AUSTIN.RR.COM,5122959822,,5122959665,,PO BOX 103,,BUDA,TX,78610-0103
VC0000102053,GERALD NUNN ELECTRIC LLC,,GERALD NUNN,Gerald@gnellctx.com,2547933539,,2547934263,,410 N PATTERSON AVE,,FLORENCE,TX,76527
GUT8313039,OTIS GUTHRIE,GUTHRIE REAL PROPERTY CONSTRUCTION MGT,OTIS GUTHRIE,guthrieroofing@aol.com,5122631151,,5124029039,,2705 VALLARTA LN STE B,,AUSTIN,TX,78733-1065
VC0000103459,COMANCHE XPRESS LLC,COMANCHE XPRESS,TROY JOHNSON,COMANCHEEXPRESS@AUSTIN.RR.COM,5127712692,,5129040022,,PO BOX 144402,,AUSTIN,TX,78714
VC0000102926,RAMA TIRUMALACHAR,RAMA TIRU,RAMA TIRU,tirugallery@gmail.com,5127736684,,8772164544,,13105 Hymeadow Circle,,AUSTIN,TX,78729
VS0000003616,JPC Construction Inc,JC Communications,Heather Chamberlain,jchamberlain1@austin.rr.com,5126701522,,5122675551,,1706 Hur Industrial Blvd,,Cedar Park,TX,78613
VS0000006907,TRINI CONSTRUCTION BUILDER LLC,,Reginald Worlds,info@triniconstructionbuilder.com,5122822262,,5125357962,,PO Box 81431,,Austin,TX,78708
UNI7027985,UNISM DEVELOPMENT CO INC,,BEN WARMATE,unism@sbcglobal.net,5122553726,,5122551451,,PO BOX 14145,,AUSTIN,TX,78761-4145
VS0000037586,"LS Supply, LLC",,Lisa Schmidt,lssupplyllc@yahoo.com,5128014047,,,,3504 Corner Brook Cove,,Austin,TX,78739
SOU7102810,SOUTHERN DATACOM INC,,MICHAEL POUNDS,mpounds@southerndatacom.com,5124487800,,5124483400,,3508 MONTOPOLIS DR,,AUSTIN,TX,78744-1418
BIC7080355,BICK'S CONSTRUCTION INC,,D S BICKEL,,8174296107,,8179219791,,2608 W WAGGOMAN ST,,FORT WORTH,TX,76110-4629
VS0000014175,"Beckett Electrical Services, LLC",,Maureen Beckett,maureen@besaustin.com,5123467462,,5122310151,,P.O. Box 81381,,Austin,TX,78708
VC0000101882,BARBARA WHITE,BMW TRUCKING,BARBARA WHITE,bwbmwtrucking@gmail.com,5126267642,,5129339699,,9701 WAYSIDE BLVD,,AUSTIN,TX,78724
HBM8304687,HBMG INC,,George Zarate,gzarate@hbmginc.com,5122489915,,5124595291,,11211 Taylor Draper Ln #200,,AUSTIN,TX,78759
JAG8307217,JAG TRUCKING INC,,GILLY QUIROZ,GILLY@JAGTRUCKING.COM,5128649906,,5128643121,,800 PRIVATE RD 917,,GEORGETOWN,TX,78626
VS0000029821,"GK Construction, LLC",,Gay Klassen,gkconstruction@austin.rr.com,5124225949,,,,1238 Tom Sawyer Road,,Dripping Springs,TX,78620
BEN8322042,CERTIFIED ARBOR CARE INC,HORSESHOE BAY TREE CARE,Debbie,debbie@certifiedarbor.com,5126718733,,5125326272,,PO BOX 1868,,ROUND ROCK,TX,78680
MER7159380,MERCURY ELECTRIC CO INC,,LISA HARLOW,flymercelec@sbcglobal.net,5125155557,,5125155054,,PO BOX 587,,LIBERTY HILL,TX,78642-0587
VS0000012416,G & H CONSTRUCTION AND REMODELING LLC,,Pete Herrera (Pedro),rflt20@austin.rr.com,5122282403,,5122336666,,333 POPE BEND SOUTH,,CEDAR CREEK,TX,78612
VS0000021028,Masonry Plus LLC,Masonry Plus LLC,Gilbert Jimenez,masonryplusllc@yahoo.com,5129147766,,,,P.O. Box 1107,,Round Rock,TX,78680
ARM7140925,ARMOR AFFILIATES INC,ARMOR SEALANTS & FIRESTOPPING,THOMAS CISNEROS III,tom@armorsealants.com,5126719727,,5126719757,,4257 GATTIS SCHOOL RD,,ROUND ROCK,TX,78664
VS0000035915,"JM Engineering, LLC",,Melissa Weinberger,melissa@jm-engineer.com,5126140226,,,,1314 Hillridge Drive,,Round Rock,TX,78665
CPM8310942,SOHEIR S MICHEL,CPM CONSULTANTS,SOHEIR (SUE) MICHEL,smichel@cpmconsultants.com,5124745377,,,,PO BOX 200548,,AUSTIN,TX,78720
DIA8316046,DIAZ PLASTERING INC,,MARTIN DIAZ,diaz@texas.net,5122813100,,5122813107,,414-B Old Lexington RD,,ELGIN,TX,78621-9494
VS0000027122,"Allied Electric Services, Inc.",,Paige Paul,paige@alliedelectric.us,5129300767,,5128681250,,4355 E University Ave,,Georgetown,TX,78626
VC0000102844,DARLENE GACE BROWN,DAR COMMUNICATIONS,DARLENE BROWN,dbrown92@austin.rr.com,5123120042,,,,304 MILLINGTON LN,,BUDA,TX,78610
CDC1039500,CDC CARPETS & INTERIORS,,WYOMA CRAGHEAD,cdccarpets@sbcglobal.net,5123278326,,5123281020,,3425 BEE CAVES RD STE A2,,AUSTIN,TX,78746-6693
AUS8321418,AUSTIN UNDERGROUND INC,,RICK VAVRO,rick@austin-underground.COM,5125353285,,5125353286,,PO BOX 5650,,LAGO VISTA,TX,78645-5650
HSC8318931,HSC ELECTRIC COMPANY INC,,HENRY GONZALEZ,hsc_electric@yahoo.com,2103824048,,2107351560,,4131 Mount Laurel Drive,,San Antonio,TX,78240
VS0000020631,RAMI MATERIALS TRANSPORT LLC,,DAMASO E. ROJO,RAMITRANS@AOL.COM,5128458358,,8668005957,,7719 MCANGUS RD,,DEL VALLE,TX,78617
MAG8319127,MAGNUM MANHOLE & UNDERGROUND,,JENNIFER LINGLE,magnummanhole@yahoo.com,9722762048,,9722765318,,428 N. First Street,,GARLAND,TX,75040
V00000922353,"D&S Texas Icon Construction, LLC",,Mark Deleon,info@dstxicon.com,5125846215,,9562234146,,1901 Onion Creek Pkwy #14202,,Austin,TX,78748
V00000902472,Mark Andrew Smith,Mark's Airconditioning & Heat,Mark Andrew Smith,marksair64@yahoo.com,5124968216,,5129280643,,6905 Hillcroft Dr.,,Austin,TX,78724
V00000922160,CAPITOL CITY SERVICES LLC,,RAY  MYERS,rayamers@aol.com,5122729819,,5122729820,,PO BOX 2541,,CYPRESS,TX,77410
V00000928830,ZOCIMO RAUL ESPINOZA,R U KOOL A/C AND HEATING SPECIALISTS,ZOCIMO RAUL ESPINOZA,raulhvac@gmail.com,5122996833,,,,5500 OVERPASS RD. #304,3075 FM 2001 BUDA TX 78610,BUDA,TX,78610
VS0000028107,Modern Pools Inc,,Jan  Garcia-Sotelo,keli@moderndb.com,5126086602,,5128287757,,PO Box 29985,,Austin,TX,78755
V00000926160,Reymundo  Zuniga,By Faith Remodeling,Reymundo  Zuniga,reymundo_zuniga@comcast.net,8325085690,,,,3726 Forney Ridge Ln,,Houston,TX,77047
V00000900503,Alpha Paving Industries LLC,,Andrew  Kim,andrew@alphapavingtexas.com,5126779001,,5126779002,,PO Box 6565,,Round Rock,TX,78683
V00000904636,"Cody Builders Supply, Inc.",,Pam Patterson,metals@codybuilderssupply.com,5123399834,,5123390165,,12002 N Lamar Blvd,,Austin,TX,78753
V00000923292,BRICK PAVING PLUS INC,PAVING PLUS,ANGEL  GRANADOS,pavingplus@aol.com,5125358088,,,,2039 HWY 21 E UNIT B,,PAIGE,TX,78659
V00000929993,HENRY  TORRES,TORRES SEAL COAT & STRIPING,HENRY  TORRES,torresstriping@hotmail.com,5124652872,,,,10506 BROWNIE DR,,AUSTIN,TX,78753
V00000918979,Accurate Pavement Striping LLC,,Shannon  McCleery,shannon@weraccurate.com,5122447000,,5122441309,,2411 PATTERSON INDUSTRIAL DR STE #B,,PFLUGERVILLE,TX,78660
V00000906584,DAVID  DELA CERDA,DELA LAGUNA CONTRACTING,david  dela cerda,dlc.laguna@yahoo.com,5124960864,1,5123651231,,2302 southwood hills dr,,Taylor,TX,76574
V00000924337,"S&D Glassworks, LLC",,Sergio Ivan Campos,sergiocampos@s-dglassworks.com,5125025984,,,,3924-C Woodbury Dr.,,Austin,TX,78704
V00000913860,"Adaptive & Efficient Design Services, LLC",,Tasha  McCarter,tmccarter@ae-designservices.com,5127655617,,,,207 Montalcino,,Austin,TX,78734
V00000919065,The Goodman Corporation,,Barry Goodman,barry@thegoodmancorp.com,7139517951,,7139517957,,3200 Travis Street,Suite 200,Houston,TX,77006-3650
V00000928872,Diven  Valles,VGC Construction-Landscaping,Diven  Valles,vgcconstructionlandscaping@yahoo.com,5124614925,,,,1229C FM 1626,,Buda,TX,78610
V00000927571,APV CONSTRUCTION AND REMODELING LLC,,ABEL  PEREZ,perezconstructionandremodel@gmail.com,5128100304,,,,1008 YORK CASTLE DR,,PFLUGERVILLE,TX,78660
V00000907693,"LEAP Structures, PLLC","LEAP!, LEAP!Structures, Leap Structures",Tak S Chu,tchu@leapstructures.com,5122983999,1,,,3001 S. Lamar Blvd,Suite 230,Austin,TX,78704
V00000917138,PROLIFIC ENTERPRISES INC,ACE WELDING AND FABRICATION,MELISSA  STOKES,info@prolificinc.us,5128481554,,,,4146 W. Hwy 79,,Rockdale,TX,76567
V00000911937,"Ishtel Heating, Air & Refrigeration Inc",,ISHTIAQ  UDDIN,ishtel@hotmail.com,5125545757,,,,PO BOX 270271,,AUSTIN,TX,78727
V00000929271,Dorrett Vanderberg,New World Contracting LLC,Dorrett  Vanderberg,dorrett@newworldcontractingllc.com,2148129429,,2148129122,,"8500 N. Stemmons Frwy, Ste. 4045",,Dallas,TX,75247
V00000915343,Majestic Services Inc,,Sharal A Brown,majesticsvcinc@aol.com,5124709221,,5128363802,,"8120 North IH 35, Suite 101",,Austin,TX,78753
V00000926331,M & R GENERAL CONTRACTING LLC,,Norma  Brito,norma.brito1@gmail.com,5129640590,,,,13110 W HWY 290 SUITE 305,,AUSTIN,TX,78737
V00000909016,"Keep it Digital, LLC",,Michael  McLennan,mike_mclennan@keepitdigital.com,5122173177,,5129297019,,2206 Sandra Dr.,,Cedar Park,TX,78613
V00000924752,TCC Services LLC,,Jennifer  Stanley,jennifer@tccservicesllc.com,5125574416,,,,"102 Wonder World Dr., Suite 304-145",,San Marcos,TX,78666
V00000905304,"Lobo Excavation, Inc.",,Ranferi  G Hernandez,ranferi10@gmail.com,5126890106,,5127179535,,22201 Hog Eye Rd,,Manor,TX,78653
V00000932759,DJR INC,ENCORE MECHANICAL,TAMMI DANIELSON,tammi@encoremech.com,5123393012,,5123393148,,PO BOX 142683,,AUSTIN,TX,78714
V00000921504,TERRA ECOSERVICES LLC,,HOLLY  ROSS,hross@terraecoservices.com,5122882167,,,,11006 SWELFLING TERRACE,,AUSTIN,TX,78737
V00000923725,Avina Lab Services Inc.,,Jorge  Avina,javina@satx.rr.com,2107107704,,2105586025,,11114 Elk Park,,San Antonio,TX,78249
V00000911561,Cantu Construction Inc,,Thomas   Cantu,cantu-construction-inc@hotmail.com,5128445545,,5122439650,,14806 Eilers Rd,,Austin,TX,78719
CMI7058620,C & M INTERIORS,,CARLOS TURNER,office@cm-interiors.net,5122513119,,5122514211,,805-B OLD AUSTIN PFLUGERVL RD,,PFLUGERVILLE,TX,78660-3377
SAM7042190,SAMMIE J KELLOUGH,SAM KELLOUGH TRUCKING,SAMMIE J KELLOUGH,kelloughj@aol.com,5124410775,,5124410549,,2314 WAGON CROSSING PATH,,AUSTIN,TX,78744-4330
BAE7086810,BAER ENGINEERING & ENVIRONMENTAL CONSULTING INC,,Therese M. Baer,tbaer@BaerEng.com,5124533733,,5124533316,,7756 NORTHCROSS DR STE 211,,AUSTIN,TX,78757-1725
AUS7045715,AUS-TEX SANDBLASTING & COATINGS INC,AUS-TEX SANDBLASTING,NAVELL GARCIA,navellgarcia@yahoo.com,5122430274,,5122430277,,9605 FM 812,,AUSTIN,TX,78719-3000
HON8313620,"VANGUARD FIRE SYSTEMS, LP",,CINDY RICHTER,cindy@vgfire.com,5129891600,,5129891631,,2340 PATTERSON INDUSTRIAL DR,,PFLUGERVILLE,TX,78660-8303
V00000938206,J W RENEAU ROOFING CO INC,,LARRY  RENEAU,ldreneau@yahoo.com,2814421451,,2814420508,,1014 GATECREST,,HOUSTON,TX,77032
AUS0465500,AUSTIN PERMIT SERVICE INC,,Melissa Hawthorne,melissa@austinpermit.com,5124744555,,5124744557,,1304 E 7th St,,AUSTIN,TX,78702
V00000928312,Giles Miscellaneous Metals LLC,,Fernlando  Giles,fgiles@gilesmmc.com,8329827806,,,,5615 Northdale,,Houston,TX,77087
KFR8309453,K FRIESE & ASSOC INC,,KAREN FRIESE,kfriese@kfriese.com,5123381704,,5123381784,,"1120 S Capital of Texas Hwy, CityView 2",Ste 100,AUSTIN,TX,78746
DAV1449500,DAVCAR INC,DAVCAR ENGINEERING SERVICES,DAVID CARROLL,david@davcar.com,5123284428,,5123068330,,1010 LAND CREEK COVE  STE 200,,AUSTIN,TX,78746
V00000934794,Ezequiel A Martinez,Action Construction and Plumbing,Ezequiel  Martinez,zekem@hcs-gc.com,2547179205,,,,P.O. Box 33,,Elm Mott,TX,76640
MEL8302760,MELENDREZ TRUCKING LLC,,ADAM MELENDREZ,meltrks@melendreztrucking.com,5122433977,,5122433947,,11608 MOORE RD,,AUSTIN,TX,78719-9652
KEY8318428,KEYSTAFF INC,,AMY STANLEY,amy@keystaffinc.com,5124704958,,5123236055,,PO BOX 9664,,AUSTIN,TX,78766-9664
V00000927192,Johnnie Peck,Queens Construction Company LLC,Mike  Adams,queensconstructioncompany@gmail.com,2818887396,,,,10190 Katy Fwy Ste. 120,,Houston,TX,77043
V00000911255,Guerra Underground LLC,"Underground, LLC",Arturo  Guerra,utilityrehab@yahoo.com,5128259580,,3126665810,,9810 FM 969,,Austin,TX,78724
BLG0714750,BLGY INC,BLGY ARCHITECTURE,BENNY HAWKINS,,5129770390,,5129770838,,2204 FORBES DR STE 101,,AUSTIN,TX,78754-5143
ALT8322417,ALTURA SOLUTIONS L P,,JESUS LARDIZABAL,jel@alturalp.com,5124107059,,,,"4111 Medical Parkway, Suite 301",,AUSTIN,TX,78756
JAS2584500,JASMINE ENGINEERING INC,,Yasaman Jasmine Azima,jasmine@jasmineengineering.com,5123262900,,5123262906,,"401 Congress Ave., Suite 1540",,AUSTIN,TX,78701
HAR8308666,HARD TARGET SYSTEMS INC,HARD TARGET SYSTEMS,Jennifer Palecek,jenny@htssecurityinc.com,5122801369,,5122759099,,P.O. Box 1045,,Manchaca,TX,78652
V00000905825,TRINH'S AC SERVICES LLC,,Tieu  T. Trinh,tieutrinh@trinhacservices.com,5123372291,,5129868359,,601 KATHLEEN LN.,,LEANDER,TX,78641
V00000917830,Earthco Landscape Construction LLC,,Heath  Williamson,earthcolc@aol.com,5128187015,,5129438333,,4500 Williams Dr. Suite 212-108,,Georgetown,TX,78633
V00000934880,NDL TRANSPORT INC,,Noe  De Leon,ndltransport1325@gmail.com,5123942783,,5128212532,,902 Bodgers Dr,,Austin,TX,78753
CAS7170685,CAS CONSULTING & SVCS INC,CAS CONSULTING & SERVICES,CHANNY SOEUR,channys@casengineers.com,5128362388,,5128364515,,7908 CAMERON RD,,AUSTIN,TX,78754
V00000903750,Jimmie  Miller,Miller Building Group,Jimmie   Miller,jmiller@mbgstl.com,3144360500,503,3145881585,,2233 Olive Street,,St. Louis,MO,63103
CON7107060,CONROE WOOD PRODUCTS INC,,CHARLINE MULLER,CONROEWOODPR@CONSOLIDATED.NET,8886363098,,9367602975,,804 WEST DALLAS STE #1,,CONROE,TX,77301-2208
FAC8317993,FACILITIES REHABILITATION INC,,Annette Ramirez,annette@facilitiesrehab.com,5123526035,,5123526036,,9120 S FM 973,,Austin,TX,78719
RAN8308638,BONIFACIO REYES RANGEL,B. RANGEL TRUCKING,BONIFACIO RANGEL,mr.rangel@sbcglobal.net,5122760038,,5124690597,,2108 E 16TH ST,,AUSTIN,TX,78702
V00000914663,Neihi Glass Inc,,Carolyn  Neiheiser,carolyn@neihiglass.com,5122513572,,5122513643,,21303 Martin Lane,,Pflugerville,TX,78660
ARI8319669,ARIAS & ASSOCIATES INC,,John Landwermeyer,jlandwermeyer@ariasinc.com,5124285550,,5124285525,,13581 Pond Springs Road,,Austin,TX,78729
V00000916305,Taber Enterprises Inc.,,Elise  Taber,lt@taberenterprisesinc.com,8175725652,,8174783202,,1421 JR Hawkins Rd.,,Kennedale,TX,76060
VS0000028570,Spirit Trucking LLC,,Darci Uetrecht,darci@spirittruckingllc.com,5122801959,,5122801959,,4009 Lillian Lane,,Austin,TX,78749
VS0000028230,"CVI Development, LLC.",,Karl Daniels,KarlDaniels.mac@me.com,5129440280,,5125972767,,1801 Lavaca 2-J,,Austin,TX,78701
SUN4499350,SUNLAND GROUP INC,,R. Carla Thompson,cthompson@sunlandgrp.com,5125907951,,5124940406,,1033 La Posada Drive,Suite 370,AUSTIN,TX,78752
V00000934950,Bandos Steel LLC,,Joseph  Etsibah,jetsibah@bandossteel.com,8327210960,,,,"7500 San Felipe Street, Suite 600",,Houston,TX,77063
VS0000017844,ACE FLOOR SOLUTIONS LLC,ACE FLOOR SOLUTIONS,Russ Knoblock,russ@acefloors.org,2109670200,,2109670204,,4888 Whirlwind Drive,,SAN ANTONIO,TX,78217
VS0000002424,"Guardian Industrial Supply, LLC",,Mike Duncan,mike@guardian-industrial.com,5129733500,,5129733588,,10629 Metric Blvd,,Austin,TX,78758
V00000918479,"Door Number 3, Inc.",,Marsha  Daigle,mdaigle@dn3austin.com,5123911773,,5123911926,,910 West Ave. No. 1,,Austin,TX,78701
V00000922250,"Rucoba & Maya Construction, LLC",,Rodolfo Rucoba,rudy@rucobaconstruction.com,8328676673,,,,35 Flint Rd,,Kyle,TX,78640
VS0000028414,LCCx,Lackey de Carvajal Cx,Mike W Lackey. PE,mwlackey@lc-cx.com,8888977794,,8883817794,,PO Box 30191,,Austin,TX,78755
V00000905765,"The Salinas Group, LLC",,Sal Salinas,sal78704@yahoo.com,5126196696,,5126196696,,4118 Todd Lane,,Austin,TX,78744
CED7142775,CEDA-TEX SVCS INC,,FRED ODANGA,contact@cedatex.com,5123390155,,5123392829,,"500 Brushy Creek Road, Suite 306",,Cedar Park,TX,78613
V00000942992,"Information Discovery Services, LLC","Information Discovery Services, LLC",J Greg Borders,g.borders@informationdiscovery.net,8175513898,102,8175513884,,3014 SE Loop 820,,Fort Worth,TX,76140
V00000917300,Terra Pave International Inc.,,Abe  Suzek,accounting@terrapaveinternational.com,7137324274,,,,PO Box 203904,,Austin,TX,78720
VC0000102862,HOT ROD MECHANICAL INC,,BERTHA GUTIERREZ,hotrodmech@hotrodmech.com,5123868686,,5123868788,,3415 E 5TH ST,,AUSTIN,TX,78702
ARC8308155,"ARCHITEXAS - ARCHITECTURE, PLANNING & HISTORIC PRE","SERVATION, INC.",Stanley O. Graves,ataustin@architexas.com,5124444220,,,,"2900 S. Congress, Suite 200",,Austin,TX,78704
ELI8309164,ELITE MECHANICAL OF TEXAS INC,,Joaquin C. Barraza,jbarraza@elitemechanicaloftexasinc.com,8306062356,,8306066261,,5737 Safari Dr.,,NEW BRAUNFELS,TX,78132-5780
V00000932859,SI MECHANICAL LLC,SI MECHANICAL,Michael   Irwin,invoicing@simechanical.com,5125936001,101,5127822174,,124 Sawgrass Circle,PO Box 1617,Kyle,TX,78640
SAN7080125,SAN ANTONIO TESTING LABORATORY,,MARCELA GRACIA HAWK,MHAWK@SATESTINGLAB.COM,2102299920,,2102299921,,1610 S LAREDO ST,,SAN ANTONIO,TX,78207-7029
VC0000102806,J TWO SONS CONCRETE CONTRACTORS LLC,,Jesus Gonzalez,jtwosonsconcrete@gmail.com,5125630785,,,,2823 Hwy 21 W,,Dale,TX,78616
V00000916458,Whitenton Group,,Scott  Jecker,swjecker@whitentongroup.com,5123533344,,5122124043,,3413 Hunter Rd,,San Marcos,TX,78666
TLI8309120,TLI & ENVIRONMENTAL SVCS,,SALES REPRESENTATIVE,tli@embarqmail.com,5129322405,,5129323505,,PO BOX 482,,KEMPNER,TX,76539-0482
VS0000028830,Jacobs Insulation LLC,,Marisol Adame,adame_marisol@yahoo.com,5122286944,,5123584400,,PO Box 202945,,Austin,TX,78720
V00000943969,Robert Reyna,Reyna Drywall and Paint LLC,Robert   Reyna,reynaconstruction@sbcglobal.net,5129250634,,,,1012 W. Prairie Lea St,,Lockhart,TX,78644
VS0000021971,ANTONIO RAMOS LIZARDO,LIZARDO TRUCKING,antonio ramos,lizardotrucking@hotmail.com,5127792632,,5123857301,,11105 PEARCE LN,,DEL VALLE,TX,78617
VS0000024973,"Prota, Inc.",,Michelle Borg,info@protaconstruction.com,5125352555,,5125355441,,P.O. Box 342195,,AUSTIN,TX,78734
